System Time,Nox
2018-03-08 20:03:15.482423,17
2018-03-08 20:07:29.153385,29
2018-03-08 20:28:56.025157,15
2018-03-08 20:31:04.160719,15
2018-03-08 21:01:00.547981,19
2018-03-08 21:08:33.584240,18
2018-03-08 20:57:48.921255,19
2018-03-08 21:05:19.847176,18
2018-03-08 22:03:01.835430,28
2018-03-08 22:01:57.073052,46
2018-03-08 21:04:14.290635,18
2018-03-08 22:06:15.863417,19
2018-03-08 22:07:18.715542,49
2018-03-08 22:04:06.492439,24
2018-03-08 22:05:12.270200,42
2018-03-08 22:13:41.961341,28
2018-03-08 22:10:30.963198,23
2018-03-08 22:19:09.625855,21
2018-03-08 22:20:14.809891,13
2018-03-08 22:24:32.870688,18
2018-03-08 22:26:39.563477,17
2018-03-08 22:30:54.938368,27
2018-03-08 22:29:52.785455,14
2018-03-08 22:36:15.858574,30
2018-03-08 22:37:20.720673,68
2018-03-08 22:46:56.669270,12
2018-03-08 22:47:59.465095,13
2018-03-08 22:40:32.003714,24
2018-03-08 22:59:46.256712,14
2018-03-08 23:03:00.456888,14
2018-03-08 23:07:16.316482,15
2018-03-08 23:05:07.497122,15
2018-03-08 23:14:45.170914,18
2018-03-08 23:21:11.916805,18
2018-03-08 23:16:54.267930,17
2018-03-08 23:23:21.543801,18
2018-03-08 23:34:04.854364,18
2018-03-08 23:30:51.937103,17
2018-03-08 23:38:21.601805,17
2018-03-08 23:29:47.453427,18
2018-03-08 23:43:43.451785,19
2018-03-08 23:43:02.413711,19
2018-03-09 09:51:25.390542,68
2018-03-08 23:45:51.387259,19
2018-03-09 09:52:17.318785,34
2018-03-09 09:54:08.936301,29
2018-03-09 09:55:29.605457,165
2018-03-09 10:01:53.195917,14
2018-03-09 10:05:07.965937,13
2018-03-09 10:02:56.215619,14
2018-03-09 10:06:12.275304,13
2018-03-09 09:59:47.139660,14
2018-03-09 10:10:29.968511,13
2018-03-09 10:11:33.474197,12
2018-03-09 10:12:37.960920,24
2018-03-09 10:14:47.509149,12
2018-03-09 10:15:48.788543,11
2018-03-09 10:17:55.544520,11
2018-03-09 10:18:59.953694,11
2018-03-09 10:22:17.332246,11
2018-03-09 10:26:33.736224,10
2018-03-09 10:25:29.854981,10
2018-03-09 10:27:37.894202,10
2018-03-09 10:29:46.264550,10
2018-03-09 10:32:58.695938,10
2018-03-09 10:36:13.113164,10
2018-03-09 10:39:25.781505,10
2018-03-09 10:41:32.763650,10
2018-03-09 10:45:50.263724,10
2018-03-09 10:46:56.017273,20
2018-03-09 10:55:29.889504,10
2018-03-09 12:32:32.795903,50
2018-03-09 13:38:03.963555,31
2018-03-09 13:39:11.217712,11
2018-03-09 13:47:43.066178,10
2018-03-09 13:55:11.939465,12
2018-03-09 14:00:34.549688,13
2018-03-09 13:56:20.191319,13
2018-03-09 14:08:04.672052,14
2018-03-09 14:17:43.959486,14
2018-03-09 14:14:29.878589,13
2018-03-09 14:11:18.128842,14
2018-03-09 14:24:07.479938,15
2018-03-09 14:29:29.386040,13
2018-03-09 14:31:39.018395,27
2018-03-09 14:32:41.357268,24
2018-03-09 14:25:12.140184,14
2018-03-09 14:26:16.468093,14
2018-03-09 14:28:25.328945,14
2018-03-09 14:33:46.131981,10
2018-03-09 14:35:54.019161,57
2018-03-09 14:38:02.769885,27
2018-03-09 14:41:14.315096,12
2018-03-09 14:39:06.617858,24
2018-03-09 14:50:53.079879,11
2018-03-09 14:55:12.284048,13
2018-03-09 14:56:18.634268,13
2018-03-09 15:05:55.142967,15
2018-03-09 15:11:17.068836,16
2018-03-09 15:17:40.392757,17
2018-03-09 15:18:47.009911,17
2018-03-09 15:21:58.267322,18
2018-03-09 15:23:02.032326,17
2018-03-09 15:25:12.906365,17
2018-03-09 15:31:39.378542,17
2018-03-09 15:28:25.599045,17
2018-03-09 15:32:43.632796,17
2018-03-09 15:35:53.627229,17
2018-03-09 15:41:16.058198,18
2018-03-09 15:42:21.315737,18
2018-03-09 15:43:25.836700,17
2018-03-09 15:47:10.611160,47
2018-03-09 15:40:12.579642,18
2018-03-09 16:03:51.042118,13
2018-03-09 16:09:11.268255,11
2018-03-09 16:08:06.598826,39
2018-03-09 16:26:13.250567,13
2018-03-09 16:24:08.300796,30
2018-03-09 16:27:20.157969,16
2018-03-09 16:29:27.019157,25
2018-03-09 16:21:58.899306,15
2018-03-09 16:30:32.080617,11
2018-03-09 16:25:10.367462,12
2018-03-09 16:31:32.664609,11
2018-03-09 16:32:39.900437,10
